Book_Available,Book_Category,Book_First_Link,Book_Price,Book_Stars,Book_Title,Book_total_category_amouth
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,57.7,4,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,12.29,5,The Girl You Lost,32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,15.85,3,The Girl In The Ice (DCI Erika Foster #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,20.3,3,Blood Defense (Samantha Brinkman #1),32
True,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/page-2.html,53.98,1,1st to Die (Women's Murder Club #1),32
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,53.74,1,Tipping the Velvet,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,29.69,3,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,55.53,5,A Flight of Arrows (The Pathfinders #2),26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,36.95,1,The House by the Lake,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,30.25,5,Mrs. Houdini,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,28.08,4,The Marriage of Opposites,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,45.84,3,Glory over Everything: Beyond The Kitchen House,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,20.55,2,"Love, Lies and Spies",26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,39.01,4,A Paris Apartment,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,17.28,2,Lilac Girls,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,16.62,3,The Constant Princess (The Tudor Court #1),26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,37.34,1,The Invention of Wings,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,32.97,4,World Without End (The Pillars of the Earth #2),26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,28.32,5,The Passion of Dolssa,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,26.77,1,Girl With a Pearl Earring,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,21.07,5,Voyager (Outlander #3),26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,35.66,5,The Red Tent,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,55.55,2,The Last Painting of Sara de Vos,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,49.53,1,The Guernsey Literary and Potato Peel Pie Society,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,46.83,2,Girl in the Blue Coat,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,20.79,5,Between Shades of Gray,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,41.32,5,While You Were Mine,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,34.56,3,The Secret Healer,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,25.83,3,Starlark,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,27.7,4,Lost Among the Living,26
True,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html,16.97,5,A Spy's Devotion (The Regency Spies of London #1),26
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,52.29,5,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,16.28,1,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,19.49,4,This One Summer,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,38.16,4,The Nameless City (The Nameless City #1),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,51.04,2,"Saga, Volume 5 (Saga (Collected Editions) #5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,50.4,3,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,13.61,5,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,18.97,1,"Pop Gun War, Volume 1: Gift",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,10.16,3,Patience,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,15.44,4,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,48.41,1,orange: The Complete Collection 1 (orange: The Complete Collection #1),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,46.91,2,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,45.61,3,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,19.92,2,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,29.17,2,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,54.63,3,I am a Hero Omnibus Volume 1,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,22.11,2,"Giant Days, Vol. 2 (Giant Days #5-8)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,51.99,4,Danganronpa Volume 1,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,36.72,4,"Codename Baboushka, Volume 1: The Conclave of Death",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,17.08,4,Camp Midnight,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,37.92,2,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,33.14,1,The Shadow Hero (The Shadow Hero),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,41.62,4,"Fables, Vol. 1: Legends in Exile (Fables #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,36.5,2,Batman: The Long Halloween (Batman),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,15.38,5,Batman: The Dark Knight Returns (Batman),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,37.34,4,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,53.9,1,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,25.38,2,Through the Woods,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,11.89,5,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,35.43,4,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,47.82,3,Robin War,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,25.48,2,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,38.39,2,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,51.51,2,Lowriders to the Center of the Earth (Lowriders in Space #2),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,57.62,5,El Deafo,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,32.01,2,Batman: Europa,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,48.8,3,Art Ops Vol. 1,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,10.9,2,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,33.95,4,"Fruits Basket, Vol. 9 (Fruits Basket #9)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-2.html,14.1,5,Roller Girl,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,19.57,1,"Fruits Basket, Vol. 7 (Fruits Basket #7)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,20.96,4,"Fruits Basket, Vol. 6 (Fruits Basket #6)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,36.39,3,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,16.33,1,"Fruits Basket, Vol. 5 (Fruits Basket #5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,52.41,1,"Death Note, Vol. 5: Whiteout (Death Note #5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,27.88,2,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,50.44,4,"Fruits Basket, Vol. 4 (Fruits Basket #4)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,14.41,3,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,55.55,5,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,21.57,5,"Saga, Volume 3 (Saga (Collected Editions) #3)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,43.63,3,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,39.13,1,Persepolis: The Story of a Childhood (Persepolis #1-2),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,31.45,3,Original Fake,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,42.72,1,"Grayson, Vol 3: Nemesis (Grayson #3)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,45.17,2,"Fruits Basket, Vol. 3 (Fruits Basket #3)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,49.31,1,"Black Butler, Vol. 1 (Black Butler #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,38.02,2,Awkward,75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,54.81,1,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,11.75,3,"Saga, Volume 2 (Saga (Collected Editions) #2)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-3.html,11.64,5,"Fruits Basket, Vol. 2 (Fruits Basket #2)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,18.51,4,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,36.52,2,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,54.12,3,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,10.64,3,The Complete Maus (Maus #1-2),75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,42.12,3,"Skip Beat!, Vol. 01 (Skip Beat! #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,28.48,1,"Saga, Volume 1 (Saga (Collected Editions) #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,46.96,5,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,21.71,4,"Paper Girls, Vol. 1 (Paper Girls #1-5)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,29.87,3,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,39.39,4,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,45.24,3,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,56.76,4,"Giant Days, Vol. 1 (Giant Days #1-4)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,40.28,5,"Fruits Basket, Vol. 1 (Fruits Basket #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,34.65,5,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",75
True,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/page-4.html,57.06,4,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",75
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,15.08,4,The Secret Garden,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,28.58,1,The Metamorphosis,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,50.26,2,The Pilgrim's Progress,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,14.82,2,The Hound of the Baskervilles (Sherlock Holmes #5),19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,28.07,4,Little Women (Little Women #1),19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,32.49,3,Gone with the Wind,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,58.63,3,Candide,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,57.22,3,Animal Farm,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,17.73,3,Wuthering Heights,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,29.7,2,The Picture of Dorian Gray,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,26.78,4,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,38.35,2,Beowulf,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,35.01,2,And Then There Were None,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,43.19,4,The Story of Hong Gildong,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,45.42,2,The Little Prince,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,37.46,1,Sense and Sensibility,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,47.11,2,Of Mice and Men,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,32.93,2,Emma,19
True,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,55.53,1,Alice in Wonderland (Alice's Adventures in Wonderland #1),19
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,15.94,5,Sophie's World,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,58.11,4,The Death of Humanity: and the Case for Life,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,17.44,4,The Stranger,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,54.21,1,Proofs of God: Classical Arguments from Tertullian to Barth,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,47.13,1,Kierkegaard: A Christian Missionary to Christians,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,29.93,5,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,20.75,1,Critique of Pure Reason,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,20.02,1,"Run, Spot, Run: The Ethics of Keeping Pets",11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,36.34,1,The Nicomachean Ethics,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,25.89,2,Meditations,11
True,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,43.38,1,Beyond Good and Evil,11
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,25.27,5,Chase Me (Paris Nights #2),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,34.53,5,Black Dust,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,33.97,1,Her Backup Boyfriend (The Sorensen Family #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,15.97,4,First and First (Five Boroughs #3),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,21.96,1,Fifty Shades Darker (Fifty Shades #2),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,24.12,1,The Wedding Dress,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,55.99,2,Suddenly in Love (Lake Haven #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,16.24,4,Something More Than This,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,35.61,3,Doing It Over (Most Likely To #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,32.61,3,The Wedding Pact (The O'Malleys #2),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,28.82,1,Hold Your Breath (Search and Rescue #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,40.83,4,Dirty (Dive Bar #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,53.98,3,Take Me Home Tonight (Rock Star Romance #3),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,47.67,3,Off the Hook (Fishing for Trouble #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,14.75,5,A Gentleman's Position (Society of Gentlemen #3),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,20.9,3,"Sit, Stay, Love",35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,31.3,1,A Girl's Guide to Moving On (New Beginnings #2),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,59.99,3,The Perfect Play (Play by Play #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,12.87,1,Dark Lover (Black Dagger Brotherhood #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,13.38,3,Changing the Game (Play by Play #2),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,56.43,1,A Walk to Remember,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,12.25,1,The Purest Hook (Second Circle Tattoos #3),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,45.43,1,The Obsession,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,11.1,3,Reservations for Two,35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,27.41,2,Best of My Love (Fool's Gold #20),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,39.77,3,Where Lightning Strikes (Bleeding Stars #3),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,48.71,1,This One Moment (Pushing Limits #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,28.34,2,"Rhythm, Chord & Malykhin",35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,38.92,2,My Perfect Mistake (Over the Top #1),35
True,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/page-2.html,58.99,3,Listen to Me (Fusion #1),35
